"","Per 1 mL increase in fluid balance","p value"
"(Intercept)","0.03 ( 0 , 1.02 )","0.051"
"age","1.02 ( 1.02 , 1.03 )","<0.0001"
"gender1","0.83 ( 0.68 , 1.02 )","0.0778"
"Mechanical_ventilation_duration","1 ( 1 , 1 )","0.0837"
"mingcs","1.06 ( 1.02 , 1.1 )","0.0021"
"sofa","1.13 ( 1.09 , 1.17 )","<0.0001"
"diabetes1","0.72 ( 0.57 , 0.91 )","0.0062"
"congestive_heart_failure1","1.2 ( 0.96 , 1.5 )","0.1"
"liver_disease1","1.87 ( 1.28 , 2.72 )","0.0012"
"cancer1","2.74 ( 2.01 , 3.73 )","<0.0001"
"oasis","1.05 ( 1.04 , 1.07 )","<0.0001"
"dialysis1","1.7 ( 1.13 , 2.56 )","0.0112"
"hemoglobin","0.95 ( 0.91 , 0.99 )","0.0213"
"creatinine","0.87 ( 0.8 , 0.95 )","0.0022"
"temp_value","0.93 ( 0.85 , 1.01 )","0.0896"
"resp_rate","1.03 ( 1.02 , 1.05 )","<0.0001"
"fb24hr","1.02 ( 1 , 1.03 )","0.1065"
