"","Per 1 mL increase in fluid balance","p value"
"(Intercept)","0.05 ( 0.01 , 0.4 )","0.0051"
"age","1.01 ( 1.01 , 1.02 )","<0.0001"
"weight","1 ( 0.99 , 1 )","0.0067"
"mingcs","1.07 ( 1.04 , 1.09 )","<0.0001"
"sofa","1.19 ( 1.16 , 1.22 )","<0.0001"
"diabetes1","0.84 ( 0.72 , 0.97 )","0.0219"
"hypertension1","0.75 ( 0.61 , 0.92 )","0.0057"
"liver_disease1","1.41 ( 1.13 , 1.75 )","0.0023"
"cancer1","2.44 ( 1.98 , 3 )","<0.0001"
"oasis","1.07 ( 1.06 , 1.08 )","<0.0001"
"dialysis1","1.38 ( 1.1 , 1.72 )","0.0043"
"hemoglobin","0.96 ( 0.94 , 0.99 )","0.0139"
"creatinine","0.95 ( 0.9 , 0.99 )","0.0212"
"temp_value","0.89 ( 0.84 , 0.94 )","<0.0001"
"resp_rate","1.03 ( 1.02 , 1.04 )","<0.0001"
"mean_bp","1 ( 0.99 , 1 )","0.0389"
"pul1","1.2 ( 1.04 , 1.38 )","0.0098"
"fb24hr","0.99 ( 0.98 , 1 )","0.0176"
