"","Per 1 mL increase in fluid balance","p value"
"(Intercept)","1.34 ( 0.17 , 10.52 )","0.783"
"age","1.03 ( 1.02 , 1.03 )","< 0.001"
"gender1","1.03 ( 0.91 , 1.18 )","0.614"
"weight","1 ( 0.99 , 1 )","0.02"
"hemoglobin","0.97 ( 0.95 , 1 )","0.056"
"creatinine","0.93 ( 0.88 , 0.97 )","0.002"
"wbc","1 ( 1 , 1.01 )","0.118"
"temp_value","0.86 ( 0.81 , 0.91 )","< 0.001"
"resp_rate","1.04 ( 1.03 , 1.05 )","< 0.001"
"heart_rate","1.01 ( 1 , 1.01 )","< 0.001"
"mean_bp","1 ( 0.99 , 1 )","0.228"
"Mechanical_ventilation_duration","0.98 ( 0.97 , 0.99 )","< 0.001"
"mingcs","0.97 ( 0.96 , 0.99 )","0.004"
"sofa","1.24 ( 1.21 , 1.27 )","< 0.001"
"diabetes1","0.88 ( 0.76 , 1.02 )","0.104"
"hypertension1","0.74 ( 0.54 , 1.02 )","0.061"
"congestive_heart_failure1","1.06 ( 0.91 , 1.22 )","0.45"
"renal_failure1","0.91 ( 0.68 , 1.22 )","0.538"
"liver_disease1","1.39 ( 1.12 , 1.71 )","0.002"
"cancer1","2.45 ( 2 , 2.99 )","< 0.001"
"aids1","0.95 ( 0.26 , 2.6 )","0.924"
"chronic_pulmonary1","1.01 ( 0.86 , 1.17 )","0.93"
"obesity1","0.88 ( 0.63 , 1.21 )","0.44"
"eskd1","0.85 ( 0.56 , 1.28 )","0.44"
"pul1","1.27 ( 1.11 , 1.46 )","0.001"
"dialysis1","1.66 ( 1.33 , 2.06 )","< 0.001"
"group2","1.02 ( 0.85 , 1.24 )","0.806"
"group3","0.88 ( 0.73 , 1.07 )","0.204"
"group4","0.75 ( 0.61 , 0.92 )","0.006"
